hotel_id,oras_id,hotel_nume,pret_de_la,categorie_id,stele_id,hotel_descriere,hotel_preturi,tipuri_masa,website,cartier,data_creare,data_modificare,data_galerie_update,status
10,1,Atinc,,1,2,"<nume_eticheta>Localizare</nume_eticheta>
Atinc Hotel este situat la 70 km de aeroportul din Izmir.

<nume_eticheta>Cazare</nume_eticheta>
Hotelul are o capacitate totala de 75 camere, repartizate astfel: 5 suite, 15 camere duble, 50 camere twin si 5 camere triple.Camerele sunt dotate cu: aer conditionat individual cu sistem de incalzire, TV satelit, telefon direct, minibar, baie cu dus, uscator de par si internet.

<nume_eticheta>Servicii</nume_eticheta>
Hotelul ofera oaspetilor sai urmatoarele facilitati si servicii: piscina cu sectiune pentru copii, biliard bar, tenis de masa, darts, sauna, masaj, baie turceasca, salon de infrumusetare, sala TV, sala de intalniri, sala de conferinte, internet cafe, restaurant interior (cu o capacitate de aproximativ 150 persoane), Restaurant Exterior (cu o capacitate de aproximativ 150 persoane), A la Carte Restaurant (Pizzeria Vesuvio), Rigolo Cafe & Restaurant, baruri (Lobby Bar, Pool Bar, Snack Bar).

<nume_eticheta>Plaja</nume_eticheta>
Hotelul este situat la 50 m de plaja.",,Demipensiune,www.hotelatinc.com,,12/29/2010,12/29/2010,2/15/2010,activ
11,1,Ayma,,1,2,"<p>Hotelul se afla localizat la 97 km de aeroportul Izmir, aproape de plaja si de centrul Kusadasi.Hotelul dispune de 130 camere dinre care 4 camere connected, 4 apartamente si 1 camere penrtu pesoane cu dizabilitati fizice. Camerele connected sunt dotate cu aer conditionat, telefon, baie cu cada si uscator de par, TV satelit, minibar. 24 de ore room service, seif la receptie, babysitting, animalele sunt acceptate si sunt despartie de o usa. Apartamentele sunt dotate cu aer conditionat, telefon, baie cu cada si uscator de par, TV satelit, minibar. 24 de ore room service, seif la receptie, babysitting, animalele sunt acceptate.</p>",,Demipensiune,www.aymahotel.com,Ladies Beach,12/29/2010,1/27/2014,2/15/2010,activ
12,1,Batihan,,1,2,"<nume_eticheta>Localizare</nume_eticheta>
Batihan Beach Resort este situat la 6 km de centrul orasului Kusadasi si la 75 km de aeroportul din Izmir.

<nume_eticheta>Cazare</nume_eticheta>
Hotelul consta intr-o cladire cu 6 etaje si are o capacitate totala de 372 in 186 camere (95 camere Seaview, 24 camere family cu vedere spre mare, constand in 2 camere separate prin usa, 66 camere Landview, o camera pentru persoane cu dizabilitati) si 6 suite.Camerele sunt dotate cu: aer conditionat, telefon direct, minibar, TV satelit, balcon, baie, uscator de par, seif si internet wireless.

<nume_eticheta>Servicii</nume_eticheta>
Hotelul ofera oaspetilor sai urmatoarele facilitati si servicii: restaurant principal, restaurant pe plaja (chinezesc, mexican si italian), Samdan Restaurant (chinezesc, mexican si italian), Snack Bar (A la Carte), Lobby Bar, club de noapte, disco, piscina interioara semiolimpica, aerobic, sauna, baschet, ping-pong, minifotbal, darts, boccia, 2 piscine separate pentru copii, sala de fitness, baie turceasca, masaj, minigolf, tenis, tenis de masa, club pentru copii (3-12 ani), animatii amfiteatru, teren de tenis, baschet, volei, windsurf, banana, parasuta, jet schi, canoe, biliard, darts electronic, internet wireless, lift, sala de conferinte, sala TV, parcare, coafor, magazine, medic si internet cafe.

<nume_eticheta>Plaja</nume_eticheta>
Hotelul dispune de o plaja privata.","<iframe name=""inlineframe"" src=""preturi_turcia/batihan_beach.htm"" frameborder=""0"" scrolling=""auto"" width=""750"" height=""600"" marginwidth=""5"" marginheight=""5"" ></iframe>",Demipensiune,www.batihanbeachresort.com,Long Beach,12/29/2010,12/29/2010,2/15/2010,activ
13,1,Egeria Beach Club,,1,2,"<nume_eticheta>Localizare</nume_eticheta>
Egeria Beach Club Hotel este situat la 13 km de Kusadasi si la 80 km de de Aeroportul Izmir Adnan Menderes.

<nume_eticheta>Cazare</nume_eticheta>
Hotelul are o capacitate de cazare de 500 paturi in 176 camere, dintre care 24 sunt suite si 4 King Suite. Camerele sunt dotate cu: TV satelit, minibar, aer conditionat, muzica, telefon cu linie directa, baie cu dus, uscator de par si balcon.

<nume_eticheta>Servicii</nume_eticheta>
Hotelul ofera oaspetilor sai urmatoarele facilitati si servicii: medic, farmacie, magazin, parcare, piscina exterioara cu sectiune pentru copii, sala de fitness, coafor, gradina, teren de joaca pentru copii, sala TV, disco, animatii, seif, tenis, tenis de masa, volei, baschet, fotbal, jogging, volei pe plaja, biliard, pinball, jet schi, banana, windsurf, hidrobicicleta, canoe, 2 restaurante in interior (300 locuri), restaurant in aer liber (400 locuri), patiserie, Snack Bar, Pool Bar, Lobby Bar, Disco Bar, Magnifique Bar si restaurant A la Carte.",,All Inclusive,www.egeriabeachclubhotel.com,Davutlar,12/29/2010,12/29/2010,2/15/2010,activ
14,1,Ephesia,,1,2,"<nume_eticheta>Localizare</nume_eticheta>
Ephesia Hotel este situat in apropiere de centrul orasului, la 75 km de Aeroportul Izmir Adnan Menderes.

<nume_eticheta>Cazare</nume_eticheta>
Hotelul are 227 camere standard ce dispun de diferite modalitati de repartizare a paturilor, 22 camere family (33-41-48 mp) si suite.Fiecare camera standard este dotata cu: balcon, aer conditionat, sistem electronic de inchidere a usilor, telefon direct, seif, LCD TV, uscator de par, telefon in baie, internet, minibar si sistem de alarma in caz de incendiu. Camerele family sunt formate din 2 parti, separate prin usa ce contin 2 paturi single si un pat dublu.Suitele sunt decorate diferit fata de camerele standard, fiind ideale pentru luna de miere si nu numai.

<nume_eticheta>Servicii</nume_eticheta>
Hotelul ofera oaspetilor sai urmatoarele facilitati si servicii: Didyma Restaurant cu locuri in interior si in aer liber, Restaurant Artemis (restaurant principal) cu locuri in interior si in aer liber, Lobby Bar, Nysa Pool Bar, Snack Bar, Pide House, organizari banchet, tenis de masa, volei pe plaja, polo, jocuri la piscina, gimnastica acvatica, aerobic, boccia, darts, club pentru copii (4-12 ani), sala fitness si magazine.

<nume_eticheta>Plaja</nume_eticheta>
Plaja este de nisip.","<iframe name=""inlineframe"" src=""preturi_turcia/ephesia.htm"" frameborder=""0"" scrolling=""auto"" width=""750"" height=""600"" marginwidth=""5"" marginheight=""5"" ></iframe>",All Inclusive,www.ephesia.com,,12/29/2010,12/29/2010,2/15/2010,activ
15,1,Grand Ozcelik,,1,2,"<nume_eticheta>Localizare</nume_eticheta>
Grand Ozcelik este situat in Kusadasi, la 18 km de Ephesus, 75 km de Aeroportul Izmir, 110 de Aeroportul Bodrum si la 423 km de Antalya.

<nume_eticheta>Cazare</nume_eticheta>
Sunt 116 camere cu vedere spre mare, dotate cu: aer conditionat/sistem de incalzire, TV satelit, baie privata, telefon cu conexiune directa si balcon. Camerele family au vedere spre mare, o capacitate de 4-6 persoane si sunt dotate cu: aer conditionat, TV satelit, minibar, telefon direct, mocheta, seif electronic, baie proprie si uscator de par.

<nume_eticheta>Plaja</nume_eticheta>
Hotelul dispune de o plaja privata.","<iframe name=""inlineframe"" src=""preturi_turcia/grand_ozcelik.htm"" frameborder=""0"" scrolling=""auto"" width=""750"" height=""600"" marginwidth=""5"" marginheight=""5"" ></iframe>",All Inclusive,www.ozcelikhotels.com,Yavansu,12/29/2010,12/29/2010,2/15/2010,activ
16,1,Imbat,,1,2,"<nume_eticheta>Localizare</nume_eticheta>
Imbat Hotel este situat la 3 km de Kusadasi.

<nume_eticheta>Cazare</nume_eticheta>
Hotelul ofera 299 camere pentru nefumatori si pentru fumatori, 3 camere pentru persoane cu dizabilitati si 9 suite cu balcoane, capacitatea totala fiind de 650 paturi in 310 camere.Toate camerele sunt dotate cu: telefon direct, seif, aer conditionat si minibar.

<nume_eticheta>Servicii</nume_eticheta>
Hotelul ofera oaspetilor sai urmatoarele facilitati si servicii: piscine (pentru adulti si copii), baie turceasca, disco, tenis de masa, sauna, sala de fitness, mini club, animatii, Restaurant Italian A la Carte, Snack Bar, Santi Bar, Lobby Bar, Terrace Bar, cafenea turceasca, Disco Bar, spalatorie, internet, masaj, magazin, servicii rent-a-car, servicii medicale, scoala de scufundari, jet schi, parasailing, banana, ringo, restaurant principal, parcare, biliard si sala de conferinte.

<nume_eticheta>Plaja</nume_eticheta>
Hotelul dispune de o plaja privata.","<iframe name=""inlineframe"" src=""preturi_turcia/imbat.htm"" frameborder=""0"" scrolling=""auto"" width=""750"" height=""600"" marginwidth=""5"" marginheight=""5"" ></iframe>",All Inclusive,www.imbat.com.tr,Ladies Beach,12/29/2010,12/29/2010,2/15/2010,activ
17,1,Kayhanbey,,1,2,"<nume_eticheta>Localizare</nume_eticheta>
Kayhanbey este situat la 90 minute de Izmir, 2 ore de Bodrum si la  3 ore de Pamukkale, de mers cu masina.

<nume_eticheta>Cazare</nume_eticheta>
Toate camerele sunt dotate cu: aer conditionat, telefon direct, uscator de par, balcon privat, minibar, TV satelit si baie.Hotelul are o capacitate de 72 camere.

<nume_eticheta>Servicii</nume_eticheta>
Hotelul ofera oaspetilor sai urmatoarele facilitati si servicii: piscina, Terrace Bar, Lobby Bar, restaurant cu locuri in interior si pe terasa, restaurant A la Carte, patiserie, baie turceasca, masaj, salon de infrumusetare, servicii medicale, sala de lectura si TV.",,Demipensiune,www.kayhanbey.com,Center,12/29/2010,12/29/2010,2/15/2010,activ
18,1,Mersin Beach Club,,1,2,,"<iframe name=""inlineframe"" src=""preturi_turcia/club_mersin.htm"" frameborder=""0"" scrolling=""auto"" width=""750"" height=""600"" marginwidth=""5"" marginheight=""5"" ></iframe>",All Inclusive,www.mersinhotel.com,,12/29/2010,12/29/2010,2/15/2010,activ
19,1,Coast Light,,1,3,"<nume_eticheta>Localizare</nume_eticheta>
Coast Light este situat la doar 4 km de Kusadasi si la aproximativ 85 km de aeroportul din Izmir.

<nume_eticheta>Cazare</nume_eticheta>
Hotelul detine 74 camere standard si 5 suite.Toate camerele sunt dotate cu: balcon, TV satelit, minibar, telefon direct, aer conditionat, uscator de par si seif.Suitele dispun de cate un salon si au baie cu jacuzzi.

<nume_eticheta>Servicii</nume_eticheta>
Hotelul ofera oaspetilor sai urmatoarele facilitati si servicii: restaurant in interior si in aer liber, Lobby Bar, piscina in interior si in exterior, sauna, masaj, tenis de masa, volei pe plaja, jet schi si canoe.

<nume_eticheta>Plaja</nume_eticheta>
Hotelul este situat pe plaja.",,Demipensiune,www.coastlighthotel.com,,12/29/2010,12/29/2010,2/15/2010,activ
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
